week,fips,date,county,state,cases,deaths
4,17031,2020-01-26,Cook,Illinois,1,0
4,06059,2020-01-26,Orange,California,1,0
4,53061,2020-01-26,Snohomish,Washington,1,0
4,04013,2020-01-26,Maricopa,Arizona,1,0
4,06037,2020-01-26,Los Angeles,California,1,0
5,53061,2020-02-02,Snohomish,Washington,1,0
5,06075,2020-02-02,San Francisco,California,2,0
5,04013,2020-02-02,Maricopa,Arizona,1,0
5,06085,2020-02-02,Santa Clara,California,2,0
5,17031,2020-02-02,Cook,Illinois,2,0
5,06037,2020-02-02,Los Angeles,California,1,0
5,06059,2020-02-02,Orange,California,1,0
5,25025,2020-02-02,Suffolk,Massachusetts,1,0
6,04013,2020-02-09,Maricopa,Arizona,1,0
6,25025,2020-02-09,Suffolk,Massachusetts,1,0
6,06037,2020-02-09,Los Angeles,California,1,0
6,06075,2020-02-09,San Francisco,California,2,0
6,06059,2020-02-09,Orange,California,1,0
6,53061,2020-02-09,Snohomish,Washington,1,0
6,06085,2020-02-09,Santa Clara,California,2,0
6,17031,2020-02-09,Cook,Illinois,2,0
6,55025,2020-02-09,Dane,Wisconsin,1,0
7,48029,2020-02-16,Bexar,Texas,2,0
7,25025,2020-02-16,Suffolk,Massachusetts,1,0
7,04013,2020-02-16,Maricopa,Arizona,1,0
7,06075,2020-02-16,San Francisco,California,2,0
7,06073,2020-02-16,San Diego,California,1,0
7,06059,2020-02-16,Orange,California,1,0
7,55025,2020-02-16,Dane,Wisconsin,1,0
7,53061,2020-02-16,Snohomish,Washington,1,0
7,06037,2020-02-16,Los Angeles,California,1,0
7,06085,2020-02-16,Santa Clara,California,2,0
7,17031,2020-02-16,Cook,Illinois,2,0
8,55025,2020-02-23,Dane,Wisconsin,1,0
8,06023,2020-02-23,Humboldt,California,1,0
8,04013,2020-02-23,Maricopa,Arizona,1,0
8,06075,2020-02-23,San Francisco,California,2,0
8,06085,2020-02-23,Santa Clara,California,2,0
8,25025,2020-02-23,Suffolk,Massachusetts,1,0
8,06037,2020-02-23,Los Angeles,California,1,0
8,06059,2020-02-23,Orange,California,1,0
8,48029,2020-02-23,Bexar,Texas,4,0
8,31055,2020-02-23,Douglas,Nebraska,11,0
8,06073,2020-02-23,San Diego,California,1,0
8,53061,2020-02-23,Snohomish,Washington,1,0
8,17031,2020-02-23,Cook,Illinois,2,0
8,06067,2020-02-23,Sacramento,California,1,0
9,25025,2020-03-01,Suffolk,Massachusetts,1,0
9,12081,2020-03-01,Manatee,Florida,1,0
9,49035,2020-03-01,Salt Lake,Utah,1,0
9,41067,2020-03-01,Washington,Oregon,2,0
9,55025,2020-03-01,Dane,Wisconsin,1,0
9,06023,2020-03-01,Humboldt,California,1,0
9,17031,2020-03-01,Cook,Illinois,3,0
9,06041,2020-03-01,Marin,California,1,0
9,06059,2020-03-01,Orange,California,1,0
9,06055,2020-03-01,Napa,California,1,0
9,06037,2020-03-01,Los Angeles,California,1,0
9,06067,2020-03-01,Sacramento,California,3,0
9,53033,2020-03-01,King,Washington,11,3
9,04013,2020-03-01,Maricopa,Arizona,1,0
9,12057,2020-03-01,Hillsborough,Florida,1,0
9,06001,2020-03-01,Alameda,California,1,0
9,06097,2020-03-01,Sonoma,California,1,0
9,06073,2020-03-01,San Diego,California,1,0
9,06085,2020-03-01,Santa Clara,California,7,0
9,53063,2020-03-01,Spokane,Washington,4,0
9,06095,2020-03-01,Solano,California,12,0
9,48029,2020-03-01,Bexar,Texas,11,0
9,06075,2020-03-01,San Francisco,California,3,0
9,31055,2020-03-01,Douglas,Nebraska,13,0
9,53061,2020-03-01,Snohomish,Washington,2,0
10,53031,2020-03-08,Jefferson,Washington,1,0
10,13121,2020-03-08,Fulton,Georgia,5,0
10,53053,2020-03-08,Pierce,Washington,4,0
10,37037,2020-03-08,Chatham,North Carolina,1,0
10,06037,2020-03-08,Los Angeles,California,14,0
10,53061,2020-03-08,Snohomish,Washington,36,0
10,06039,2020-03-08,Madera,California,1,0
10,53063,2020-03-08,Spokane,Washington,4,0
10,06041,2020-03-08,Marin,California,1,0
10,29189,2020-03-08,St. Louis,Missouri,1,0
10,13057,2020-03-08,Cherokee,Georgia,1,0
10,36103,2020-03-08,Suffolk,New York,1,0
10,27123,2020-03-08,Ramsey,Minnesota,1,0
10,53033,2020-03-08,King,Washington,91,18
10,13135,2020-03-08,Gwinnett,Georgia,1,0
10,13067,2020-03-08,Cobb,Georgia,3,0
10,37183,2020-03-08,Wake,North Carolina,1,0
10,53035,2020-03-08,Kitsap,Washington,1,0
10,06001,2020-03-08,Alameda,California,3,0
10,53011,2020-03-08,Clark,Washington,1,0
10,53007,2020-03-08,Chelan,Washington,1,1
10,09001,2020-03-08,Fairfield,Connecticut,1,0
10,32003,2020-03-08,Clark,Nevada,2,0
10,06013,2020-03-08,Contra Costa,California,9,0
10,36111,2020-03-08,Ulster,New York,1,0
10,06019,2020-03-08,Fresno,California,1,0
10,36119,2020-03-08,Westchester,New York,81,0
10,13233,2020-03-08,Polk,Georgia,1,0
10,53037,2020-03-08,Kittitas,Washington,1,0
10,31055,2020-03-08,Douglas,Nebraska,16,0
10,06023,2020-03-08,Humboldt,California,1,0
10,15003,2020-03-08,Honolulu,Hawaii,2,0
10,11001,2020-03-08,District of Columbia,District of Columbia,1,0
10,53071,2020-03-08,Walla Walla,Washington,1,0
10,06061,2020-03-08,Placer,California,7,1
10,17031,2020-03-08,Cook,Illinois,7,0
10,24031,2020-03-08,Montgomery,Maryland,4,0
10,42127,2020-03-08,Wayne,Pennsylvania,1,0
10,24025,2020-03-08,Harford,Maryland,1,0
10,06081,2020-03-08,San Mateo,California,1,0
10,48201,2020-03-08,Harris,Texas,6,0
10,08041,2020-03-08,El Paso,Colorado,1,0
10,45019,2020-03-08,Charleston,South Carolina,1,0
10,19103,2020-03-08,Johnson,Iowa,3,0
10,06085,2020-03-08,Santa Clara,California,37,0
10,48157,2020-03-08,Fort Bend,Texas,6,0
10,08037,2020-03-08,Eagle,Colorado,1,0
10,06087,2020-03-08,Santa Cruz,California,1,0
10,42091,2020-03-08,Montgomery,Pennsylvania,4,0
10,08035,2020-03-08,Douglas,Colorado,3,0
10,08031,2020-03-08,Denver,Colorado,2,0
10,45083,2020-03-08,Spartanburg,South Carolina,1,0
10,06095,2020-03-08,Solano,California,12,0
10,06097,2020-03-08,Sonoma,California,3,0
10,20091,2020-03-08,Johnson,Kansas,1,0
10,48029,2020-03-08,Bexar,Texas,11,0
10,47187,2020-03-08,Williamson,Tennessee,1,0
10,47037,2020-03-08,Davidson,Tennessee,1,0
10,47157,2020-03-08,Shelby,Tennessee,1,0
10,06113,2020-03-08,Yolo,California,1,0
10,21067,2020-03-08,Fayette,Kentucky,2,0
10,21111,2020-03-08,Jefferson,Kentucky,1,0
10,45055,2020-03-08,Kershaw,South Carolina,4,0
10,51059,2020-03-08,Fairfax,Virginia,2,0
10,25003,2020-03-08,Berkshire,Massachusetts,1,0
10,08059,2020-03-08,Jefferson,Colorado,1,0
10,27019,2020-03-08,Carver,Minnesota,1,0
10,06055,2020-03-08,Napa,California,1,0
10,40143,2020-03-08,Tulsa,Oklahoma,1,0
10,50003,2020-03-08,Bennington,Vermont,1,0
10,41019,2020-03-08,Douglas,Oregon,1,0
10,06059,2020-03-08,Orange,California,3,0
10,49053,2020-03-08,Washington,Utah,1,0
10,41029,2020-03-08,Jackson,Oregon,2,0
10,41035,2020-03-08,Klamath,Oregon,1,0
10,55025,2020-03-08,Dane,Wisconsin,1,0
10,41047,2020-03-08,Marion,Oregon,1,0
10,49035,2020-03-08,Salt Lake,Utah,1,0
10,06075,2020-03-08,San Francisco,California,11,0
10,49011,2020-03-08,Davis,Utah,1,0
10,41067,2020-03-08,Washington,Oregon,8,0
10,04021,2020-03-08,Pinal,Arizona,3,0
10,06067,2020-03-08,Sacramento,California,3,0
10,25027,2020-03-08,Worcester,Massachusetts,1,0
10,25025,2020-03-08,Suffolk,Massachusetts,9,0
10,18063,2020-03-08,Hendricks,Indiana,1,0
10,42045,2020-03-08,Delaware,Pennsylvania,1,0
10,25021,2020-03-08,Norfolk,Massachusetts,7,0
10,25017,2020-03-08,Middlesex,Massachusetts,10,0
10,18097,2020-03-08,Marion,Indiana,1,0
10,06073,2020-03-08,San Diego,California,1,0
10,04013,2020-03-08,Maricopa,Arizona,2,0
